Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454066353933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066358933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066363934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066368931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066373934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066378930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066383931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066388933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066393930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066347461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066352460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066357461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066362461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066367459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066372460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066377459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066382460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066387458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066392463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066397460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066402462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066407459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066398933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066403932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066408931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066413931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066418933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066423931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066428934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066433934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066438930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066443929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066448933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066453930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066458931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066412463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066417461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066422459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066427461,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066432460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066437459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066442458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066447458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066452463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066457462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066462461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066467462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066472462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066463931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066468933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066473930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066478931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066483931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066488934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066493931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066498930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066503930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066508929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066513930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066518931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066523930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066477462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066482460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066487459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066492459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066497461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066502461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066507461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066512462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066517460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066522459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066527460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066532460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066537461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066528933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066533929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066538930,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066543934,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066548930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066553934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066558934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066563933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066568932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066573933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066578933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066583933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066588932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066542463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066547462,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066552459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066557458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066562461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066567461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066572460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066577463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066582461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066587458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066592462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066597459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066602461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066593933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066598929,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066603929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066608931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066613934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066618934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066623934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066628933,5,200,4,0,17,0,0,0,0,0,0,0,0
